Fecha y Hora de Adjudicación;Localidad;Centro;Especialidad;Nº Orden;Año
22/5/2026 11:31;SAN CRISTÓBAL DE LA LAGUNA;H. UNIVERSITARIO DE CANARIAS;FARMACOLOGÍA CLÍNICA;9524;2026
22/5/2026 11:29;MADRID;H. CENTRAL DE LA DEFENSA GÓMEZ ULLA;FARMACOLOGÍA CLÍNICA;9519;2026
22/5/2026 11:26;MADRID;H. CENTRAL DE LA DEFENSA GÓMEZ ULLA;FARMACOLOGÍA CLÍNICA;9495;2026
22/5/2026 10:51;PUERTO REAL;H. UNIVERSITARIO DE PUERTO REAL;FARMACOLOGÍA CLÍNICA;9387;2026
21/5/2026 18:05;MADRID;H. UNIVERSITARIO CLÍNICO SAN CARLOS;FARMACOLOGÍA CLÍNICA;9136;2026
21/5/2026 17:54;SANTANDER;H. UNIVERSITARIO MARQUÉS DE VALDECILLA;FARMACOLOGÍA CLÍNICA;9097;2026
21/5/2026 15:57;MADRID;H. UNIVERSITARIO CLÍNICO SAN CARLOS;FARMACOLOGÍA CLÍNICA;8758;2026
21/5/2026 10:34;MADRID;H. UNIVERSITARIO DE LA PRINCESA;FARMACOLOGÍA CLÍNICA;8593;2026
21/5/2026 10:02;MÁLAGA;H. UNIVERSITARIO VIRGEN DE LA VICTORIA;FARMACOLOGÍA CLÍNICA;8483;2026
21/5/2026 9:42;SANTANDER;H. UNIVERSITARIO MARQUÉS DE VALDECILLA;FARMACOLOGÍA CLÍNICA;8422;2026
20/5/2026 17:52;SEVILLA;H. UNIVERSITARIO VIRGEN DEL ROCÍO;FARMACOLOGÍA CLÍNICA;8380;2026
20/5/2026 17:26;MADRID;H. UNIVERSITARIO LA PAZ;FARMACOLOGÍA CLÍNICA;8289;2026
20/5/2026 17:05;MAJADAHONDA;H. UNIVERSITARIO PUERTA DE HIERRO;FARMACOLOGÍA CLÍNICA;8246;2026
20/5/2026 16:40;BADALONA;H. UNIVERSITARI GERMANS TRIAS I PUJOL;FARMACOLOGÍA CLÍNICA;8165;2026
20/5/2026 16:29;MADRID;H. UNIVERSITARIO LA PAZ;FARMACOLOGÍA CLÍNICA;8130;2026
20/5/2026 10:11;HOSPITALET DE LLOBREGAT (L');H. UNIVERSITARI DE BELLVITGE;FARMACOLOGÍA CLÍNICA;7758;2026
19/5/2026 17:46;BARCELONA;H. UNIVERSITARIO VALL D´ HEBRON;FARMACOLOGÍA CLÍNICA;7698;2026
19/5/2026 16:15;BARCELONA;H. UNIVERSITARIO VALL D´ HEBRON;FARMACOLOGÍA CLÍNICA;7432;2026
19/5/2026 9:38;BARCELONA;H. UNIVERSITARIO VALL D´ HEBRON;FARMACOLOGÍA CLÍNICA;7006;2026
18/5/2026 17:43;BARCELONA;H. DEL MAR- PARC DE SALUT MAR;FARMACOLOGÍA CLÍNICA;6922;2026
18/5/2026 16:25;BARCELONA;H. DE LA SANTA CREU I SANT PAU;FARMACOLOGÍA CLÍNICA;6752;2026
18/5/2026 11:20;ALICANTE / ALACANT;H. GENERAL UNIVERSITARIO DE ALICANTE;FARMACOLOGÍA CLÍNICA;6591;2026
14/5/2026 16:37;BARCELONA;H. CLÍNIC DE BARCELONA;FARMACOLOGÍA CLÍNICA;6104;2026
12/5/2026 10:15;BARCELONA;H. CLÍNIC DE BARCELONA;FARMACOLOGÍA CLÍNICA;4268;2026
